transformId;rotation;scale;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
Sheep;(0.0, -0.8, 0.0, -0.6);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);cd82c105-acda-4112-8cfc-00c845689384;1;4;4;08.31.2021 19:03:39.108
Sheep;(0.0, -0.9, 0.0, -0.5);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);2234518a-3755-4e4b-999b-22244ac5c8d7;1;4;4;08.31.2021 19:03:39.142
Sheep;(0.0, -0.9, 0.0, -0.4);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);db4b696e-d647-4af6-bafd-ee66af834073;1;4;4;08.31.2021 19:03:39.175
Sheep;(0.0, -1.0, 0.0, -0.2);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);d63569e6-4193-4b06-aaf6-dbf01dca5b3e;1;4;4;08.31.2021 19:03:39.208
Sheep;(0.0, -1.0, 0.0, -0.1);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);ce3ea89d-0d89-4973-ade8-193bc3dbceb5;1;4;4;08.31.2021 19:03:39.242
Sheep;(0.0, -1.0, 0.0, 0.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);ee2209c5-9bfc-4e59-a70d-02a90d5bd46f;1;4;4;08.31.2021 19:03:39.275
Sheep;(0.0, -1.0, 0.0, 0.2);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);1c183d61-bd6a-4f05-8587-8a95b461671e;1;4;4;08.31.2021 19:03:39.308
Sheep;(0.0, -1.0, 0.0, 0.3);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);ed30b307-988c-4276-a645-95fd419da0b4;1;4;4;08.31.2021 19:03:39.341
Sheep;(0.0, -0.9, 0.0, 0.4);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);371848e9-d0b4-4218-9272-73365da4d629;1;4;4;08.31.2021 19:03:39.375
Sheep;(0.0, -0.8, 0.0, 0.6);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);cc14adec-cfbf-4bc3-af55-6794b7e526cd;1;4;4;08.31.2021 19:03:39.408
